"","firm_ratio","bact","firm"
ERR9835046,4.0880829015544045,193.0,789.0
ERR9835354,11.556962025316457,79.0,913.0
ERR9834990,10.534883720930232,86.0,906.0
ERR9835304,5.12962962962963,162.0,831.0
ERR9835287,4.835443037974684,158.0,764.0
ERR9835394,2.3732876712328768,292.0,693.0
ERR9835158,9.414893617021276,94.0,885.0
ERR9835387,4.747058823529412,170.0,807.0
ERR9835388,10.505882352941176,85.0,893.0
ERR9835167,12.577464788732394,71.0,893.0
ERR9835112,36.03846153846154,26.0,937.0
ERR9835152,11.973684210526317,76.0,910.0
ERR9835212,4.015625,192.0,771.0
ERR9835357,8.39047619047619,105.0,881.0
ERR9835069,7.456896551724138,116.0,865.0
ERR9835185,11.2875,80.0,903.0
ERR9835115,10.313953488372093,86.0,887.0
ERR9835227,4.715116279069767,172.0,811.0
ERR9835129,13.492537313432836,67.0,904.0
ERR9835329,3.805970149253731,201.0,765.0
ERR9834994,3.712918660287081,209.0,776.0
ERR9835267,4.0,186.0,744.0
ERR9834966,4.791666666666667,168.0,805.0
ERR9835083,44.23809523809524,21.0,929.0
ERR9835162,4.4124293785310735,177.0,781.0
ERR9835470,21.928571428571427,42.0,921.0
ERR9835270,17.823529411764707,51.0,909.0
ERR9835025,1.5767195767195767,378.0,596.0
ERR9835284,3.592964824120603,199.0,715.0
ERR9834965,4.063157894736842,190.0,772.0
ERR9835209,12.37837837837838,74.0,916.0
ERR9835168,6.134328358208955,134.0,822.0
ERR9834955,9.771739130434783,92.0,899.0
ERR9835179,9.591397849462366,93.0,892.0
ERR9835189,7.235294117647059,119.0,861.0
ERR9835322,2.933333333333333,240.0,704.0
ERR9834992,10.0,90.0,900.0
ERR9835095,4.904761904761905,168.0,824.0
ERR9835027,3.128205128205128,234.0,732.0
ERR9835067,4.694117647058824,170.0,798.0
ERR9835231,3.156118143459916,237.0,748.0
ERR9834964,2.366438356164384,292.0,691.0
ERR9835019,5.54421768707483,147.0,815.0
ERR9835339,3.247826086956522,230.0,747.0
ERR9835312,3.025641025641025,234.0,708.0
ERR9835246,1.9553571428571428,336.0,657.0
ERR9835195,9.548387096774194,93.0,888.0
ERR9835029,9.387096774193548,93.0,873.0
ERR9835066,8.485436893203884,103.0,874.0
ERR9835059,6.296296296296297,135.0,850.0
ERR9835385,1.6071428571428572,364.0,585.0
ERR9834983,6.43609022556391,133.0,856.0
ERR9835044,16.703703703703702,54.0,902.0
ERR9835061,4.531428571428571,175.0,793.0
ERR9835255,3.650943396226415,212.0,774.0
ERR9834986,7.539130434782609,115.0,867.0
ERR9835161,8.594059405940595,101.0,868.0
ERR9835381,1.66016713091922,359.0,596.0
ERR9835345,4.201058201058201,189.0,794.0
ERR9834980,53.76470588235294,17.0,914.0
ERR9835117,13.757575757575758,66.0,908.0
ERR9835180,9.195876288659791,97.0,892.0
ERR9835229,8.775510204081632,98.0,860.0
ERR9835366,89.4,10.0,894.0
ERR9834959,33.42857142857143,28.0,936.0
ERR9835008,13.626865671641792,67.0,913.0
ERR9835136,8.119266055045872,109.0,885.0
ERR9835052,2.2804054054054053,296.0,675.0
ERR9834979,8.257142857142858,105.0,867.0
ERR9835173,4.722543352601156,173.0,817.0
ERR9835413,8.371428571428572,105.0,879.0
ERR9835480,31.633333333333333,30.0,949.0
ERR9835397,7.073770491803279,122.0,863.0
ERR9835197,5.506666666666667,150.0,826.0
ERR9834989,4.575418994413408,179.0,819.0
ERR9835383,34.74074074074074,27.0,938.0
ERR9835393,21.78048780487805,41.0,893.0
ERR9835472,16.339285714285715,56.0,915.0
ERR9835131,10.588235294117649,85.0,900.0
ERR9835063,5.012269938650307,163.0,817.0
ERR9835274,4.643274853801169,171.0,794.0
ERR9835003,4.596590909090909,176.0,809.0
ERR9835011,5.964539007092198,141.0,841.0
ERR9835096,7.191666666666666,120.0,863.0
ERR9835030,5.138364779874214,159.0,817.0
ERR9835235,4.036458333333333,192.0,775.0
ERR9835111,5.15625,160.0,825.0
ERR9834977,5.664429530201343,149.0,844.0
ERR9835042,5.018633540372671,161.0,808.0
ERR9835263,22.8,40.0,912.0
ERR9835279,4.4804469273743015,179.0,802.0
ERR9835238,8.650485436893204,103.0,891.0
ERR9835295,10.0,79.0,790.0
ERR9835211,4.1063829787234045,188.0,772.0
ERR9835119,7.89908256880734,109.0,861.0
ERR9834960,3.188841201716738,233.0,743.0
ERR9834978,5.854166666666667,144.0,843.0
ERR9835243,12.63768115942029,69.0,872.0
ERR9835244,5.621621621621622,148.0,832.0
ERR9834969,1.8186968838526911,353.0,642.0
ERR9835316,15.796610169491526,59.0,932.0
ERR9835118,2.521276595744681,282.0,711.0
ERR9835135,9.408602150537634,93.0,875.0
ERR9835242,2.7595419847328246,262.0,723.0
ERR9835355,6.771653543307087,127.0,860.0
ERR9835034,5.72463768115942,138.0,790.0
ERR9835200,3.2951541850220263,227.0,748.0
ERR9835315,4.666666666666667,174.0,812.0
ERR9835182,6.511627906976744,129.0,840.0
ERR9835116,32.11538461538461,26.0,835.0
ERR9835409,6.534351145038168,131.0,856.0
ERR9834957,8.598039215686274,102.0,877.0
ERR9835171,8.00925925925926,108.0,865.0
ERR9835351,13.575757575757576,66.0,896.0
ERR9835301,6.779661016949152,118.0,800.0
ERR9835389,8.161904761904761,105.0,857.0
ERR9835215,10.588235294117649,85.0,900.0
ERR9835326,4.993902439024391,164.0,819.0
ERR9835085,11.706666666666669,75.0,878.0
ERR9835386,5.554054054054054,148.0,822.0
ERR9835132,2.0122699386503067,326.0,656.0
ERR9835213,6.766129032258065,124.0,839.0
ERR9835476,22.70731707317073,41.0,931.0
ERR9835097,8.656862745098039,102.0,883.0
ERR9835392,8.130841121495328,107.0,870.0
ERR9835108,1.71978021978022,364.0,626.0
ERR9835018,15.93103448275862,58.0,924.0
ERR9835404,2.323024054982818,291.0,676.0
ERR9835148,7.716814159292035,113.0,872.0
ERR9835223,9.06060606060606,99.0,897.0
ERR9834981,3.112033195020747,241.0,750.0
ERR9835236,5.473684210526316,152.0,832.0
ERR9835165,5.115646258503402,147.0,752.0
ERR9835250,11.308641975308642,81.0,916.0
ERR9835149,6.967479674796748,123.0,857.0
ERR9835075,10.181818181818182,88.0,896.0
ERR9835483,17.09433962264151,53.0,906.0
ERR9835126,7.0578512396694215,121.0,854.0
ERR9835024,36.15384615384615,26.0,940.0
ERR9835417,9.369565217391305,92.0,862.0
ERR9835206,8.62135922330097,103.0,888.0
ERR9835183,25.67567567567568,37.0,950.0
ERR9835349,11.08641975308642,81.0,898.0
ERR9834996,8.666666666666666,102.0,884.0
ERR9835098,3.525345622119816,217.0,765.0
ERR9835305,7.660714285714286,112.0,858.0
ERR9835199,26.676470588235293,34.0,907.0
ERR9835374,21.837209302325583,43.0,939.0
ERR9835321,4.790697674418604,172.0,824.0
ERR9835147,3.445945945945946,222.0,765.0
ERR9835335,2.675373134328358,268.0,717.0
ERR9834997,28.666666666666668,33.0,946.0
ERR9835474,19.97872340425532,47.0,939.0
ERR9835082,5.229299363057325,157.0,821.0
ERR9835232,5.591549295774648,142.0,794.0
ERR9835347,18.36,50.0,918.0
ERR9835124,5.523809523809524,147.0,812.0
ERR9835049,7.34453781512605,119.0,874.0
ERR9835065,16.24561403508772,57.0,926.0
ERR9835341,1.8708708708708708,333.0,623.0
ERR9835278,7.605263157894737,114.0,867.0
ERR9834982,16.224137931034484,58.0,941.0
ERR9835033,47.2,20.0,944.0
ERR9835317,15.016949152542374,59.0,886.0
ERR9834991,11.653846153846152,78.0,909.0
ERR9834963,24.42105263157895,38.0,928.0
ERR9835360,10.057471264367816,87.0,875.0
ERR9835201,9.456521739130435,92.0,870.0
ERR9835155,7.837837837837838,111.0,870.0
ERR9835408,8.495145631067961,103.0,875.0
ERR9835142,13.338235294117649,68.0,907.0
ERR9835373,5.470198675496689,151.0,826.0
ERR9835001,2.156050955414013,314.0,677.0
ERR9835308,8.259615384615385,104.0,859.0
ERR9835221,16.418181818181818,55.0,903.0
ERR9835074,33.48148148148148,27.0,904.0
ERR9835005,3.724637681159421,207.0,771.0
ERR9835099,8.339805825242719,103.0,859.0
ERR9835257,13.38095238095238,63.0,843.0
ERR9835391,2.317725752508361,299.0,693.0
ERR9834988,3.747619047619048,210.0,787.0
ERR9835477,21.761904761904763,42.0,914.0
ERR9835051,4.095238095238095,189.0,774.0
ERR9835218,6.732283464566929,127.0,855.0
ERR9835141,3.286995515695067,223.0,733.0
ERR9835154,4.122340425531915,188.0,775.0
ERR9835378,10.011363636363637,88.0,881.0
ERR9835249,4.613924050632911,158.0,729.0
ERR9834995,3.2127659574468086,235.0,755.0
ERR9835100,1.851063829787234,329.0,609.0
ERR9835376,11.776315789473683,76.0,895.0
ERR9835258,37.48,25.0,937.0
ERR9835226,11.2,80.0,896.0
ERR9835319,9.568181818181818,88.0,842.0
ERR9835323,3.5186915887850465,214.0,753.0
ERR9835217,6.538461538461538,130.0,850.0
ERR9835275,22.59523809523809,42.0,949.0
ERR9834998,24.53846153846154,39.0,957.0
ERR9835123,12.166666666666666,72.0,876.0
ERR9835273,7.846846846846847,111.0,871.0
ERR9835133,2.9325396825396823,252.0,739.0
ERR9835140,7.008130081300813,123.0,862.0
ERR9835068,10.839506172839506,81.0,878.0
ERR9835009,4.634285714285714,175.0,811.0
ERR9835021,19.285714285714285,49.0,945.0
ERR9835479,29.70967741935484,31.0,921.0
ERR9835058,4.324324324324325,185.0,800.0
ERR9835062,19.06382978723404,47.0,896.0
ERR9835410,7.809523809523809,105.0,820.0
ERR9835094,1.4987212276214834,391.0,586.0
ERR9835325,8.656565656565656,99.0,857.0
ERR9835017,23.725,40.0,949.0
ERR9835399,5.328767123287672,146.0,778.0
ERR9835022,2.132911392405063,316.0,674.0
ERR9835041,5.24375,160.0,839.0
ERR9834984,17.81132075471698,53.0,944.0
ERR9835035,6.198529411764706,136.0,843.0
ERR9835071,5.461538461538462,143.0,781.0
ERR9835241,3.0622406639004147,241.0,738.0
ERR9835109,4.563218390804598,174.0,794.0
ERR9835121,13.07462686567164,67.0,876.0
ERR9835415,6.848,125.0,856.0
ERR9834958,12.04,75.0,903.0
ERR9835300,10.0,87.0,870.0
ERR9835418,7.403508771929824,114.0,844.0
ERR9835298,4.072538860103627,193.0,786.0
ERR9835090,16.12727272727273,55.0,887.0
ERR9835364,3.083333333333333,240.0,740.0
ERR9835014,16.051724137931036,58.0,931.0
ERR9835271,7.135593220338983,118.0,842.0
ERR9835188,1.7092391304347827,368.0,629.0
ERR9835473,17.037735849056602,53.0,903.0
ERR9834975,4.175141242937853,177.0,739.0
ERR9835010,53.41176470588236,17.0,908.0
ERR9835233,41.72727272727273,22.0,918.0
ERR9835283,3.513888888888889,216.0,759.0
ERR9835081,18.04,50.0,902.0
ERR9835125,16.263157894736842,57.0,927.0
ERR9835320,13.90625,64.0,890.0
ERR9835214,13.984848484848484,66.0,923.0
ERR9835307,3.2304347826086954,230.0,743.0
ERR9835340,6.492424242424242,132.0,857.0
ERR9835045,7.159663865546219,119.0,852.0
ERR9835216,4.066666666666666,195.0,793.0
ERR9835064,5.779310344827586,145.0,838.0
ERR9835407,5.111801242236025,161.0,823.0
ERR9835043,7.818181818181818,110.0,860.0
ERR9835088,4.785714285714286,168.0,804.0
ERR9835120,4.030456852791878,197.0,794.0
ERR9835288,3.0625,240.0,735.0
ERR9835230,12.246575342465754,73.0,894.0
ERR9835107,14.092307692307692,65.0,916.0
ERR9835234,2.5160142348754446,281.0,707.0
ERR9835160,1.7366946778711485,357.0,620.0
ERR9835303,11.727272727272728,55.0,645.0
ERR9835276,6.542635658914729,129.0,844.0
ERR9834956,6.848,125.0,856.0
ERR9835219,5.098765432098766,162.0,826.0
ERR9835164,1.4389027431421446,401.0,577.0
ERR9835338,3.808823529411765,204.0,777.0
ERR9835311,8.367924528301886,106.0,887.0
ERR9835050,20.32608695652174,46.0,935.0
ERR9835240,3.4654377880184333,217.0,752.0
ERR9835060,5.880281690140845,142.0,835.0
ERR9834987,4.140625,192.0,795.0
ERR9835237,6.039370078740157,127.0,767.0
ERR9835277,5.804195804195804,143.0,830.0
ERR9835122,12.205882352941176,68.0,830.0
ERR9835072,2.264808362369338,287.0,650.0
ERR9835313,24.78787878787879,33.0,818.0
ERR9835482,44.76190476190476,21.0,940.0
ERR9835368,5.902097902097903,143.0,844.0
ERR9835420,30.096774193548388,31.0,933.0
ERR9835198,5.871428571428571,140.0,822.0
ERR9835334,57.0,16.0,912.0
ERR9835343,3.974619289340101,197.0,783.0
ERR9835264,8.514563106796116,103.0,877.0
ERR9835089,3.652582159624413,213.0,778.0
ERR9835000,14.492063492063492,63.0,913.0
ERR9835384,6.424242424242424,132.0,848.0
ERR9835139,8.12962962962963,108.0,878.0
ERR9835247,3.284482758620689,232.0,762.0
ERR9835382,4.133689839572193,187.0,773.0
ERR9835363,21.642857142857142,42.0,909.0
ERR9835137,6.786885245901639,122.0,828.0
ERR9835128,4.815476190476191,168.0,809.0
ERR9834968,8.160377358490566,106.0,865.0
ERR9835114,8.08411214953271,107.0,865.0
ERR9835092,8.816326530612244,98.0,864.0
ERR9835144,10.03448275862069,87.0,873.0
ERR9835130,6.40625,128.0,820.0
ERR9835269,9.183673469387756,98.0,900.0
ERR9835205,9.420454545454543,88.0,829.0
ERR9835353,21.181818181818183,44.0,932.0
ERR9835375,5.251612903225807,155.0,814.0
ERR9835306,7.962264150943396,106.0,844.0
ERR9835187,8.81,100.0,881.0
ERR9835403,18.07692307692308,52.0,940.0
ERR9835026,11.571428571428571,70.0,810.0
ERR9834976,13.071428571428571,70.0,915.0
ERR9835202,7.3931623931623935,117.0,865.0
ERR9835268,6.6171875,128.0,847.0
ERR9835143,3.5562130177514795,169.0,601.0
ERR9835138,9.877777777777778,90.0,889.0
ERR9834985,9.01010101010101,99.0,892.0
ERR9835151,9.347368421052632,95.0,888.0
ERR9835004,5.795774647887324,142.0,823.0
ERR9835048,47.578947368421055,19.0,904.0
ERR9835204,4.370967741935484,186.0,813.0
ERR9835190,10.987012987012989,77.0,846.0
ERR9834962,3.547945205479452,219.0,777.0
ERR9835007,9.301075268817204,93.0,865.0
ERR9835380,2.270175438596491,285.0,647.0
ERR9835028,4.026315789473684,190.0,765.0
ERR9835484,16.410714285714285,56.0,919.0
ERR9835106,9.685393258426966,89.0,862.0
ERR9835400,9.78021978021978,91.0,890.0
ERR9835414,7.074380165289257,121.0,856.0
ERR9835309,4.516666666666667,180.0,813.0
ERR9834993,14.548387096774194,62.0,902.0
ERR9835023,4.939024390243903,164.0,810.0
ERR9835070,10.822784810126585,79.0,855.0
ERR9835416,7.657657657657658,111.0,850.0
ERR9835012,38.76,25.0,969.0
ERR9835337,7.405172413793103,116.0,859.0
ERR9834961,8.85,100.0,885.0
ERR9835261,17.0,49.0,833.0
ERR9835013,4.559322033898305,177.0,807.0
ERR9835252,3.425339366515837,221.0,757.0
ERR9835365,18.137254901960784,51.0,925.0
ERR9835475,18.62,50.0,931.0
ERR9835412,6.071428571428571,140.0,850.0
ERR9835016,22.38095238095238,42.0,940.0
ERR9835084,10.9873417721519,79.0,868.0
ERR9835002,6.912,125.0,864.0
ERR9835172,2.8823529411764706,255.0,735.0
ERR9835481,22.70731707317073,41.0,931.0
ERR9835310,1.4725,400.0,589.0
ERR9835328,5.080745341614906,161.0,818.0
ERR9835203,2.3136531365313653,271.0,627.0
ERR9835327,1.42997542997543,407.0,582.0
ERR9835478,9.494505494505496,91.0,864.0
ERR9835207,16.963636363636365,55.0,933.0
ERR9834967,14.596491228070176,57.0,832.0
ERR9835369,7.132231404958677,121.0,863.0
ERR9835411,7.891891891891892,111.0,876.0
ERR9835113,7.888888888888889,108.0,852.0
ERR9835146,2.132013201320132,303.0,646.0
ERR9835272,7.451327433628318,113.0,842.0
ERR9835471,12.32876712328767,73.0,900.0
