"","shannon_diversity"
"level",0
"ERR9834955",2.959286297465
"ERR9834956",3.07885013048353
"ERR9834957",3.10576374647623
"ERR9834958",3.22942530729728
"ERR9834959",3.110799452088
"ERR9834960",3.19665127393691
"ERR9834961",3.16887227236619
"ERR9834962",3.04399679708622
"ERR9834963",2.88479274331655
"ERR9834964",3.26998365097368
"ERR9834965",3.31688953462831
"ERR9834966",3.28605142311198
"ERR9834967",3.24531061646693
"ERR9834968",3.10968941957401
"ERR9834969",3.23129061364294
"ERR9834975",3.30344356830566
"ERR9834976",3.21168003666523
"ERR9834977",3.1348362094018
"ERR9834978",3.12438142210315
"ERR9834979",3.23455528584539
"ERR9834980",3.17838142488392
"ERR9834981",3.09940751811916
"ERR9834982",2.84360144730362
"ERR9834983",3.21285564606643
"ERR9834984",2.97833581291187
"ERR9834985",3.10830628008434
"ERR9834986",3.25777532828196
"ERR9834987",3.15763125803
"ERR9834988",3.35650636683107
"ERR9834989",3.08308302244375
"ERR9834990",3.11098431083221
"ERR9834991",3.10197921200632
"ERR9834992",3.0184453895097
"ERR9834993",3.2669961562867
"ERR9834994",3.2583598725091
"ERR9834995",3.16054449778352
"ERR9834996",3.23567982670483
"ERR9834997",2.95632301720494
"ERR9834998",2.94929319058487
"ERR9835000",3.08903815573364
"ERR9835001",3.19563283673878
"ERR9835002",3.18752024208226
"ERR9835003",3.14312978873043
"ERR9835004",3.24195780771685
"ERR9835005",3.35436134384555
"ERR9835007",3.19723001897562
"ERR9835008",3.14930589069869
"ERR9835009",3.23450347684518
"ERR9835010",3.19137376805613
"ERR9835011",3.1319062741277
"ERR9835012",2.86614575166427
"ERR9835013",3.17456122831189
"ERR9835014",3.1581492427967
"ERR9835016",3.09817047636998
"ERR9835017",2.9826069182714
"ERR9835018",2.99029558162319
"ERR9835019",3.37135050563877
"ERR9835021",3.19668312574339
"ERR9835022",3.26960773598502
"ERR9835023",3.24918584796679
"ERR9835024",2.94870246362155
"ERR9835025",3.35332649089638
"ERR9835026",3.49371950646282
"ERR9835027",3.16959960529272
"ERR9835028",3.49311971708385
"ERR9835029",3.12413978491848
"ERR9835030",3.36165656384919
"ERR9835033",3.23857162759574
"ERR9835034",3.2979848446477
"ERR9835035",3.18724553434918
"ERR9835041",3.21609586158126
"ERR9835042",3.27710891423797
"ERR9835043",3.17236181816387
"ERR9835044",3.2312182770517
"ERR9835045",2.99321911350547
"ERR9835046",3.19859728981306
"ERR9835048",3.12093668551738
"ERR9835049",3.16475575229835
"ERR9835050",3.15530013363181
"ERR9835051",3.29539351888998
"ERR9835052",3.3392283333303
"ERR9835058",3.25190599918822
"ERR9835059",3.28160190726215
"ERR9835060",3.27175534875996
"ERR9835061",3.21856983533982
