taxon,level,SRR37635745
k__Bacteria;p__Fusobacteria;c__Fusobacteriia,c,0.006436541058804921
k__Archaea;p__Euryarchaeota;c__Methanobacteria,c,3.6502123206833195e-05
k__Bacteria;p__TM7;c__TM7-3,c,0.001228904814630051
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,c,0.49354520787959166
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,c,0.00012167374402277732
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,c,0.00017034324163188826
k__Bacteria;p__Firmicutes;c__Bacilli,c,0.003978731429544818
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,c,0.0067893949164709744
k__Archaea;p__Parvarchaeota;c__Parvarchaea,c,8.517162081594413e-05
k__Bacteria;p__Firmicutes;c__Clostridia,c,0.04394855634102717
k__Bacteria;p__Bacteroidetes;c__Bacteroidia,c,0.44251523963643885
k__Bacteria;p__Actinobacteria;c__Actinobacteria,c,0.0003285191088614988
k__Bacteria;p__Firmicutes;c__Erysipelotrichi,c,0.0006935403409298308
k__Bacteria;p__OD1;c__ABY1,c,0.00012167374402277732
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae,f,0.00032901150321700136
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,f,0.48746100604406317
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,f,0.003789725092610645
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae,f,0.00017059855722363032
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae,f,6.092805615129655e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Mogibacteriaceae,f,7.311366738155586e-05
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,f,0.0006945798401247807
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,f,8.529927861181516e-05
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae,f,0.006446188340807175
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,f,0.0003777539481380386
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,f,0.006799571066484695
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae,f,0.0003168258919867421
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,f,0.00010967050107233378
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae,f,0.00019496977968414895
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria,f,0.00651930200818873
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,f,0.00010967050107233378
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,f,0.038957399103139015
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Tissierellaceae,f,0.00010967050107233378
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae,f,0.0001218561123025931
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16,f,0.0001218561123025931
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,f,0.00020715539091440826
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,f,0.44287385455254435
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,f,0.004009066094755313
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,f,6.092805615129655e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,g,0.015299915205289224
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Shigella,g,0.0012289088518304598
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,g,6.1445442591523e-05
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,g,0.006500927826183132
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acetobacter,g,0.00017204723925626437
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus,g,6.1445442591523e-05
